City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Nkoteng,CM,2022-10-17 02:17:49,4.5167,12.0333,67.19,98,32,1.34
174,Nisia Floresta,BR,2022-10-17 02:17:50,-6.0911,-35.2086,77.81,85,60,8.99
175,Bonfim,BR,2022-10-17 02:17:50,3.0833,-59.95,77.52,81,100,7.02
176,Flin Flon,CA,2022-10-17 02:17:50,54.7682,-101.865,27.03,47,76,4.59
177,San Vicente,AR,2022-10-17 02:17:51,-26.6167,-54.1333,59.77,99,7,2.82
178,Hofn,IS,2022-10-17 02:17:51,64.2539,-15.2082,42.28,77,13,14.65
179,Tiznit,MA,2022-10-17 02:17:51,29.5833,-9.5,72.07,52,0,2.42
180,Green River,US,2022-10-17 02:17:52,41.5286,-109.4662,52.99,37,7,3.0
181,Nemuro,JP,2022-10-17 02:17:52,43.3236,145.575,60.93,83,100,17.58
182,Porto Velho,BR,2022-10-17 02:14:15,-8.7619,-63.9039,73.45,94,75,2.3
183,Nishihara,JP,2022-10-17 02:18:53,26.1842,127.7558,83.86,73,100,11.5
184,Hasaki,JP,2022-10-17 02:17:43,35.7333,140.8333,74.21,86,100,8.68
185,Merauke,ID,2022-10-17 02:18:54,-8.4667,140.3333,84.79,74,100,8.61
186,Fortuna,US,2022-10-17 02:18:54,40.5982,-124.1573,61.92,77,0,8.05
187,Ahipara,NZ,2022-10-17 02:15:05,-35.1667,173.1667,60.04,94,96,8.95
188,Salvador,SV,2022-10-17 02:16:42,13.8333,-88.9167,73.06,98,100,2.26
189,Quarai,BR,2022-10-17 02:18:55,-30.3875,-56.4514,54.46,93,0,12.88
190,Marienburg,PL,2022-10-17 02:18:55,54.0359,19.0266,52.88,88,99,5.23
191,Songjianghe,CN,2022-10-17 02:18:56,42.1859,127.479,38.89,52,53,7.05
192,San Vicente De Canete,PE,2022-10-17 02:18:56,-13.0751,-76.3835,62.85,83,20,3.44
193,Shimoda,JP,2022-10-17 02:18:57,34.6667,138.95,74.1,83,100,5.53
194,Aykhal,RU,2022-10-17 02:18:57,66.0,111.5,18.34,98,95,1.66
195,Zhezkazgan,KZ,2022-10-17 02:18:57,47.8043,67.7144,33.78,86,40,2.24
196,Chuy,UY,2022-10-17 02:18:58,-33.6971,-53.4616,58.23,93,100,16.8
197,Madang,PG,2022-10-17 02:18:58,-5.2246,145.7966,86.45,63,100,5.99
198,Half Moon Bay,US,2022-10-17 02:14:00,37.4636,-122.4286,65.03,76,20,6.91
199,Vaini,TO,2022-10-17 02:18:59,-21.2,-175.2,80.76,83,75,5.75
200,Salalah,OM,2022-10-17 02:17:03,17.0151,54.0924,73.49,68,0,4.61
201,Tariba,VE,2022-10-17 02:19:00,7.8188,-72.2243,73.96,98,77,3.13
202,East London,ZA,2022-10-17 02:19:00,-33.0153,27.9116,66.83,87,100,13.47
203,Iquitos,PE,2022-10-17 02:19:00,-3.7481,-73.2472,75.24,94,40,1.14
204,Blythe,US,2022-10-17 02:19:01,33.6103,-114.5964,78.49,33,0,2.89
205,Hobyo,SO,2022-10-17 02:19:02,5.3505,48.5268,77.58,85,7,10.74
206,Carnarvon,AU,2022-10-17 02:19:02,-24.8667,113.6333,68.9,53,16,20.96
207,Norman Wells,CA,2022-10-17 02:19:03,65.282,-126.8329,33.84,80,40,3.44
208,Oriximina,BR,2022-10-17 02:19:04,-1.7656,-55.8661,78.96,76,78,1.92
209,Bacalar,MX,2022-10-17 02:19:04,18.6667,-88.3833,76.78,96,73,4.07
210,Nigran,ES,2022-10-17 02:19:04,42.1415,-8.8066,60.04,93,75,1.99
211,Vostok,RU,2022-10-17 02:19:05,46.4856,135.8833,37.29,63,91,10.65
212,Canon City,US,2022-10-17 02:19:05,38.441,-105.2424,48.61,69,0,5.75
213,Port Hardy,CA,2022-10-17 02:19:06,50.6996,-127.4199,53.78,87,0,0.0
214,Sovetskiy,RU,2022-10-17 02:19:06,61.3614,63.5842,37.62,90,100,5.5
215,Sisimiut,GL,2022-10-17 02:19:07,66.9395,-53.6735,39.2,65,100,11.12
216,Wells,GB,2022-10-17 02:19:07,51.2079,-2.649,60.69,91,100,15.08
217,Saint-Joseph,RE,2022-10-17 02:19:08,-21.3667,55.6167,66.58,79,19,8.23
218,The Pas,CA,2022-10-17 02:19:09,53.8251,-101.2541,30.22,55,100,3.44
219,Bismarck,US,2022-10-17 02:15:00,46.8083,-100.7837,37.24,57,0,8.05
220,Shelburne,CA,2022-10-17 02:15:08,44.0787,-80.2041,43.25,79,100,4.29
221,Sao Felix Do Xingu,BR,2022-10-17 02:19:10,-6.6447,-51.995,73.71,88,80,1.25
222,Luanda,AO,2022-10-17 02:19:11,-8.8368,13.2343,75.2,83,75,4.61
223,Yar-Sale,RU,2022-10-17 02:19:11,66.8333,70.8333,36.75,97,100,2.68
