City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Chinhoyi,ZW,70.45,few clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
106,Le Port,RE,79.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
107,Vero Beach,US,79.99,few clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
115,Conceicao Do Araguaia,BR,76.33,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
116,Tashigang,BT,80.85,clear sky,27.3331,91.5542,Lingkhar Lodge
120,Banda Aceh,ID,85.14,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
123,Bilma,NE,74.14,clear sky,18.6853,12.9164,Expeditions Ténére voyages
125,Sao Miguel Do Araguaia,BR,81.12,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
126,Biak,ID,82.53,moderate rain,-0.9131,122.8766,Penginapan Kim
129,Bubaque,GW,80.49,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
135,Faanui,PF,78.69,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Ugoofaaru,MV,81.05,overcast clouds,5.6667,73.0,Ungoofaaru Inn
141,Ha Tinh,VN,81.34,scattered clouds,18.3333,105.9,Phú Quý
142,Saint-Pierre,RE,78.91,clear sky,-21.3393,55.4781,Alize Plage
149,Tanout,NE,78.49,clear sky,14.9709,8.8879,
152,Isangel,VU,77.83,broken clouds,-19.55,169.2667,Tanna Lodge
155,Porto Seguro,BR,73.92,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
157,Tikamgarh,IN,79.84,clear sky,24.745,78.8333,White House
158,Ayorou,NE,84.9,clear sky,14.7308,0.9174,Hotel Amenokal
162,Macau,MO,84.0,few clouds,22.2006,113.5461,Grand Emperor Hotel Macau
171,Santa Cruz,BO,71.19,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
174,Komsomolskiy,UZ,70.52,overcast clouds,40.4272,71.7189,Ikathouse
184,Porto Walter,BR,71.38,overcast clouds,-8.2686,-72.7439,Hotel Silva
185,Sao Joao Da Barra,BR,70.68,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
186,Qandala,SO,82.18,clear sky,11.472,49.8728,
190,Kanasin,MX,79.0,broken clouds,20.9333,-89.5667,Hacienda Misné
191,Touros,BR,76.71,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
193,Lingao,CN,80.73,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
195,Ha Giang,VN,84.92,broken clouds,22.8333,104.9833,Truong Xuan Resort
196,Arraial Do Cabo,BR,70.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
197,Arlit,NE,80.51,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
199,Kroya,ID,82.44,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
203,Souillac,MU,71.76,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
208,Tabou,CI,74.82,broken clouds,4.423,-7.3528,hotêl doufoulougou
211,Wajid,SO,78.04,broken clouds,3.8093,43.2471,xamdihotelresturant114
217,Hithadhoo,MV,80.8,overcast clouds,-0.6,73.0833,Scoop Guest House
219,Roebourne,AU,88.97,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
220,San Patricio,US,82.26,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
222,Luba,GQ,78.26,overcast clouds,3.4568,8.5547,
224,Cabo San Lucas,MX,76.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
226,Santa Rosalia,MX,71.53,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
227,Cockburn Town,TC,81.09,few clouds,21.4612,-71.1419,Osprey Beach Hotel
228,Makasar,ID,84.25,moderate rain,-5.14,119.4221,Aryaduta Makassar
230,Sambava,MG,73.65,clear sky,-14.2667,50.1667,Melrose
231,Nisia Floresta,BR,76.01,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
235,Mao,ES,70.36,few clouds,39.8885,4.2658,ARTIEM Capri
238,Bardiyah,LY,70.32,few clouds,31.7561,25.0865,بورتو بردية
240,San Lorenzo,PY,72.54,clear sky,-25.3333,-57.5333,Canarias Hotel
244,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
246,Yenagoa,NG,73.53,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
252,Kiunga,PG,89.26,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
254,Lorengau,PG,84.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
263,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
264,Urucara,BR,72.66,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
265,Bengkulu,ID,82.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
266,Waingapu,ID,82.58,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
267,Shaowu,CN,79.84,overcast clouds,27.3409,117.4831,Yijie Express Hotel
