City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Arona,ES,28.0996,-16.681,63.12,79,20,6.91,few clouds
148,Batagay,RU,67.6333,134.6333,19.17,91,95,0.78,overcast clouds
149,Tanout,NE,14.9709,8.8879,78.49,20,3,9.04,clear sky
150,Durango,MX,24.8333,-104.8333,61.41,67,26,6.17,scattered clouds
151,Mount Isa,AU,-20.7333,139.5,91.17,27,75,10.36,broken clouds
152,Isangel,VU,-19.55,169.2667,77.83,73,58,6.17,broken clouds
153,Avera,US,33.194,-82.5271,64.54,50,97,7.14,overcast clouds
154,Pacific Grove,US,36.6177,-121.9166,57.65,83,0,4.61,clear sky
155,Porto Seguro,BR,-16.4497,-39.0647,73.92,88,75,5.75,broken clouds
156,Luderitz,NA,-26.6481,15.1594,57.63,92,0,7.07,clear sky
157,Tikamgarh,IN,24.745,78.8333,79.84,43,0,2.24,clear sky
158,Ayorou,NE,14.7308,0.9174,84.9,32,5,6.26,clear sky
159,Port Hedland,AU,-20.3167,118.5667,93.25,21,1,13.8,clear sky
160,Mgandu,TZ,-5.95,34.1333,66.11,58,77,9.75,broken clouds
161,Ust-Ilimsk,RU,58.0006,102.6619,41.85,41,31,5.75,scattered clouds
162,Macau,MO,22.2006,113.5461,84.0,54,20,21.85,few clouds
163,Zapotiltic,MX,19.6167,-103.4333,64.78,96,94,1.92,light rain
164,Castro,BR,-24.7911,-50.0119,56.39,96,1,2.17,clear sky
165,Yumen,CN,40.2833,97.2,58.51,13,0,4.54,clear sky
166,Kalabo,ZM,-14.97,22.6814,67.57,27,24,4.09,few clouds
167,Aykino,RU,62.2248,49.9922,40.03,93,82,7.65,broken clouds
168,Dobson,US,36.3957,-80.7226,60.55,97,100,0.0,light intensity drizzle
169,Fairbanks,US,64.8378,-147.7164,34.61,88,0,5.75,clear sky
170,Chengde,CN,40.9725,117.9361,52.97,18,0,14.32,clear sky
171,Santa Cruz,BO,-17.8,-63.1667,71.19,69,87,4.32,overcast clouds
172,Kokkola,FI,63.8385,23.1307,44.92,90,100,9.22,overcast clouds
173,Turukhansk,RU,65.8167,87.9833,33.37,72,100,6.53,overcast clouds
174,Komsomolskiy,UZ,40.4272,71.7189,70.52,30,100,2.3,overcast clouds
175,Borogontsy,RU,62.6683,131.1683,28.54,95,100,2.89,snow
176,Tuktoyaktuk,CA,69.4541,-133.0374,27.28,95,100,22.88,snow
177,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,2.3,overcast clouds
178,Kasongo,CD,-4.45,26.6667,68.05,88,95,1.52,overcast clouds
179,Hofn,IS,64.2539,-15.2082,41.29,80,16,11.83,few clouds
